year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2025_09,2025,initial_bookins,24755,,,2025-09-20,2025-10-30
2025_10,2026,initial_bookins,41618,41611,41641,2026-02-07,2026-02-13
2025_11,2026,initial_bookins,38412,38395,38412,2026-02-07,2026-02-13
2025_12,2026,initial_bookins,42130,42116,42130,2026-02-07,2026-02-13
2026_01,2026,initial_bookins,39694,39694,39694,2026-02-07,2026-02-13
2026_02,2026,initial_bookins,7940,,,2026-02-07,2026-02-13
2018_10,2019,adp,45584.03,45584.03,45584.03,2019-10-04,2019-10-06
2018_11,2019,adp,46202.40,46202.40,46202.40,2019-10-04,2019-10-06
2018_12,2019,adp,48783.29,48783.29,48783.29,2019-10-04,2019-10-06
2019_01,2019,adp,46947.32,46947.32,46947.32,2019-10-04,2019-10-06
2019_02,2019,adp,48592.64,48592.64,48592.64,2019-10-04,2019-10-06
2019_03,2019,adp,48958.29,48958.29,48958.29,2019-10-04,2019-10-06
2019_04,2019,adp,49172.63,49172.63,49172.63,2019-10-04,2019-10-06
2019_05,2019,adp,51822.81,51822.81,51822.81,2019-10-04,2019-10-06
2019_06,2019,adp,54254.17,54254.17,54254.17,2019-10-04,2019-10-06
2019_07,2019,adp,54220.16,54220.16,54220.16,2019-10-04,2019-10-06
2019_08,2019,adp,55238.48,55238.48,55238.48,2019-10-04,2019-10-06
2019_09,2019,adp,52090.97,52090.97,52090.97,2019-10-04,2019-10-06
2019_10,2020,adp,50217.84,50217.77,50222.19,2020-10-02,2020-10-01
2019_11,2020,adp,46171.40,46171.40,46176.40,2020-10-02,2020-10-01
2019_12,2020,adp,42750.58,42750.58,42755.58,2020-10-02,2020-10-01
2020_01,2020,adp,41115.06,41115.06,41120.06,2020-10-02,2020-10-01
2020_02,2020,adp,39312.93,39312.93,39319.00,2020-10-02,2020-10-01
2020_03,2020,adp,37687.97,37687.97,37692.81,2020-10-02,2020-10-01
2020_04,2020,adp,31823.33,31823.33,31828.13,2020-10-02,2020-10-01
2020_05,2020,adp,27189.35,27189.13,27192.97,2020-10-02,2020-10-01
2020_06,2020,adp,24203.93,24203.93,24207.63,2020-10-02,2020-10-01
2020_07,2020,adp,22549.42,22549.42,22553.74,2020-10-02,2020-10-01
2020_08,2020,adp,21397.03,21396.74,21397.03,2020-10-02,2020-10-01
2020_09,2020,adp,20227.20,20227.20,20227.20,2020-10-02,2020-10-01
2020_10,2021,adp,18745.58,18742.77,18786.81,2021-09-25,2021-10-02
2020_11,2021,adp,16871.67,16864.80,16877.27,2021-09-25,2021-10-02
2020_12,2021,adp,16129.00,16119.13,16136.23,2021-09-25,2021-10-02
2021_01,2021,adp,15099.10,15090.16,15111.26,2021-09-25,2021-10-02
2021_02,2021,adp,14086.96,14083.96,14100.75,2021-09-25,2021-10-02
2021_03,2021,adp,14151.29,14145.55,14153.42,2021-09-25,2021-10-02
2021_04,2021,adp,15561.37,15553.43,15565.27,2021-09-25,2021-10-02
2021_05,2021,adp,20962.68,20956.03,20972.03,2021-09-25,2021-10-02
2021_06,2021,adp,26198.63,26195.13,26218.90,2021-09-25,2021-10-02
2021_07,2021,adp,27057.94,27055.10,27057.94,2021-09-25,2021-10-02
2021_08,2021,adp,25205.74,25162.13,25205.74,2021-09-25,2021-10-02
2021_09,2021,adp,23136.32,,,2021-09-25,2021-10-02
2021_10,2022,adp,22798.55,22793.94,22842.10,2022-09-24,2022-09-30
2021_11,2022,adp,23337.37,23331.30,23426.83,2022-09-24,2022-09-30
2021_12,2022,adp,21568.65,21550.29,21715.81,2022-09-24,2022-09-30
2022_01,2022,adp,21454.65,21386.55,21572.10,2022-09-24,2022-09-30
2022_02,2022,adp,19770.18,19630.00,19784.04,2022-09-24,2022-09-30
2022_03,2022,adp,19944.58,19676.97,19957.97,2022-09-24,2022-09-30
2022_04,2022,adp,19697.50,19176.23,19703.00,2022-09-24,2022-09-30
2022_05,2022,adp,23791.16,23791.03,23799.84,2022-09-24,2022-09-30
2022_06,2022,adp,24300.10,24299.30,24303.40,2022-09-24,2022-09-30
2022_07,2022,adp,23685.42,23685.42,23695.55,2022-09-24,2022-09-30
2022_08,2022,adp,25164.45,25164.45,25170.97,2022-09-24,2022-09-30
2022_09,2022,adp,25883.00,,,2022-09-24,2022-09-30
2022_10,2023,adp,28830.71,28826.23,28831.84,2023-10-03,2023-11-08
2022_11,2023,adp,30283.60,30277.13,30283.60,2023-10-03,2023-11-08
2022_12,2023,adp,24636.87,24629.84,24638.23,2023-10-03,2023-11-08
2023_01,2023,adp,22179.65,22173.35,22191.87,2023-10-03,2023-11-08
2023_02,2023,adp,26739.64,26735.71,26746.75,2023-10-03,2023-11-08
2023_03,2023,adp,27692.52,27686.81,27692.52,2023-10-03,2023-11-08
2023_04,2023,adp,25281.70,25274.43,25281.70,2023-10-03,2023-11-08
2023_05,2023,adp,25546.32,25540.58,25561.10,2023-10-03,2023-11-08
2023_06,2023,adp,30193.50,30189.77,30226.57,2023-10-03,2023-11-08
2023_07,2023,adp,31123.39,31114.23,31123.39,2023-10-03,2023-11-08
2023_08,2023,adp,31339.77,31339.77,31359.58,2023-10-03,2023-11-08
2023_09,2023,adp,35742.10,35742.10,35742.10,2023-10-03,2023-11-08
2023_10,2024,adp,38522.29,38512.42,38532.13,2024-10-03,2024-10-01
2023_11,2024,adp,39200.57,39191.17,39203.83,2024-10-03,2024-10-01
2023_12,2024,adp,37005.71,36996.97,37016.00,2024-10-03,2024-10-01
2024_01,2024,adp,38194.32,38188.29,38200.94,2024-10-03,2024-10-01
2024_02,2024,adp,39079.55,39075.62,39087.07,2024-10-03,2024-10-01
2024_03,2024,adp,38371.77,38368.52,38375.71,2024-10-03,2024-10-01
2024_04,2024,adp,35069.07,35068.57,35083.17,2024-10-03,2024-10-01
2024_05,2024,adp,37221.90,37211.42,37234.29,2024-10-03,2024-10-01
2024_06,2024,adp,38264.97,38264.97,38288.00,2024-10-03,2024-10-01
2024_07,2024,adp,37160.74,37160.74,37166.35,2024-10-03,2024-10-01
2024_08,2024,adp,36663.48,36663.48,36668.03,2024-10-03,2024-10-01
2024_09,2024,adp,37982.93,37982.93,37982.93,2024-10-03,2024-10-01
2024_10,2025,adp,38711.77,38706.77,38728.68,2025-09-20,2025-10-30
2024_11,2025,adp,38989.97,38985.90,39022.57,2025-09-20,2025-10-30
2024_12,2025,adp,39134.71,39130.87,39154.48,2025-09-20,2025-10-30
2025_01,2025,adp,40202.58,40196.58,40221.29,2025-09-20,2025-10-30
2025_02,2025,adp,43111.75,43106.68,43137.18,2025-09-20,2025-10-30
2025_03,2025,adp,47670.48,47666.32,47694.03,2025-09-20,2025-10-30
2025_04,2025,adp,49498.77,49496.77,49528.07,2025-09-20,2025-10-30
2025_05,2025,adp,50313.48,50313.48,50359.81,2025-09-20,2025-10-30
2025_06,2025,adp,57392.60,57390.03,57412.10,2025-09-20,2025-10-30
2025_07,2025,adp,58316.81,58316.81,58332.97,2025-09-20,2025-10-30
2025_08,2025,adp,60930.00,60930.00,60930.00,2025-09-20,2025-10-30
2025_09,2025,adp,60317.35,,,2025-09-20,2025-10-30
2025_10,2026,adp,63177.74,63177.74,63307.74,2026-02-07,2026-02-13
2025_11,2026,adp,66616.40,66511.30,66659.33,2026-02-07,2026-02-13
2025_12,2026,adp,69551.84,69314.16,69562.74,2026-02-07,2026-02-13
2026_01,2026,adp,71955.16,71955.16,71955.16,2026-02-07,2026-02-13
2026_02,2026,adp,70394.29,,,2026-02-07,2026-02-13
2023_10,2024,final_bookouts,20388,20375,20388,2024-10-03,2024-10-01
2023_11,2024,final_bookouts,19638,19636,19638,2024-10-03,2024-10-01
2023_12,2024,final_bookouts,20287,20273,20288,2024-10-03,2024-10-01
2024_01,2024,final_bookouts,19296,19286,19299,2024-10-03,2024-10-01
2024_02,2024,final_bookouts,22137,22133,22137,2024-10-03,2024-10-01
2024_03,2024,final_bookouts,24400,24396,24418,2024-10-03,2024-10-01
2024_04,2024,final_bookouts,23649,23637,23649,2024-10-03,2024-10-01
2024_05,2024,final_bookouts,25963,25603,25963,2024-10-03,2024-10-01
2024_06,2024,final_bookouts,23734,23680,23741,2024-10-03,2024-10-01
2024_07,2024,final_bookouts,24749,24546,24749,2024-10-03,2024-10-01
2024_08,2024,final_bookouts,23626,23626,23652,2024-10-03,2024-10-01
2024_09,2024,final_bookouts,20613,20613,20613,2024-10-03,2024-10-01
2024_10,2025,final_bookouts,21709,21707,21738,2025-09-20,2025-10-30
2024_11,2025,final_bookouts,20890,20879,20890,2025-09-20,2025-10-30
2024_12,2025,final_bookouts,20696,20693,20722,2025-09-20,2025-10-30
2025_01,2025,final_bookouts,19970,19921,19971,2025-09-20,2025-10-30
2025_02,2025,final_bookouts,17330,17326,17332,2025-09-20,2025-10-30
2025_03,2025,final_bookouts,19363,19332,19364,2025-09-20,2025-10-30
2025_04,2025,final_bookouts,21115,21111,21119,2025-09-20,2025-10-30
2025_05,2025,final_bookouts,26798,26779,26798,2025-09-20,2025-10-30
2025_06,2025,final_bookouts,29387,29387,29437,2025-09-20,2025-10-30
2025_07,2025,final_bookouts,30729,30706,30729,2025-09-20,2025-10-30
2025_08,2025,final_bookouts,32395,32395,32395,2025-09-20,2025-10-30
2025_09,2025,final_bookouts,23637,,,2025-09-20,2025-10-30
2025_10,2026,final_bookouts,37541,37530,37720,2026-02-07,2026-02-13
2025_11,2026,final_bookouts,36454,36434,36454,2026-02-07,2026-02-13
2025_12,2026,final_bookouts,38736,38735,38857,2026-02-07,2026-02-13
2026_01,2026,final_bookouts,37404,37404,37404,2026-02-07,2026-02-13
2026_02,2026,final_bookouts,10090,,,2026-02-07,2026-02-13
2023_10,2024,final_bookouts_release_to_remove,9740,9731,9740,2024-10-03,2024-10-01
2023_11,2024,final_bookouts_release_to_remove,9022,9022,9023,2024-10-03,2024-10-01
2023_12,2024,final_bookouts_release_to_remove,8784,8784,8786,2024-10-03,2024-10-01
2024_01,2024,final_bookouts_release_to_remove,10806,10791,10809,2024-10-03,2024-10-01
2024_02,2024,final_bookouts_release_to_remove,12635,12631,12635,2024-10-03,2024-10-01
2024_03,2024,final_bookouts_release_to_remove,12990,12984,12990,2024-10-03,2024-10-01
2024_04,2024,final_bookouts_release_to_remove,13725,13715,13725,2024-10-03,2024-10-01
2024_05,2024,final_bookouts_release_to_remove,16336,15895,16336,2024-10-03,2024-10-01
2024_06,2024,final_bookouts_release_to_remove,15369,15309,15372,2024-10-03,2024-10-01
2024_07,2024,final_bookouts_release_to_remove,15638,15435,15638,2024-10-03,2024-10-01
2024_08,2024,final_bookouts_release_to_remove,14854,14854,14856,2024-10-03,2024-10-01
2024_09,2024,final_bookouts_release_to_remove,13083,13083,13083,2024-10-03,2024-10-01
2024_10,2025,final_bookouts_release_to_remove,13645,13638,13646,2025-09-20,2025-10-30
2024_11,2025,final_bookouts_release_to_remove,12608,12607,12610,2025-09-20,2025-10-30
2024_12,2025,final_bookouts_release_to_remove,12300,12297,12301,2025-09-20,2025-10-30
2025_01,2025,final_bookouts_release_to_remove,11915,11866,11915,2025-09-20,2025-10-30
2025_02,2025,final_bookouts_release_to_remove,14314,14309,14315,2025-09-20,2025-10-30
2025_03,2025,final_bookouts_release_to_remove,15916,15855,15917,2025-09-20,2025-10-30
2025_04,2025,final_bookouts_release_to_remove,16995,16939,16995,2025-09-20,2025-10-30
2025_05,2025,final_bookouts_release_to_remove,22520,22473,22520,2025-09-20,2025-10-30
2025_06,2025,final_bookouts_release_to_remove,24887,24810,24887,2025-09-20,2025-10-30
2025_07,2025,final_bookouts_release_to_remove,26697,26543,26697,2025-09-20,2025-10-30
2025_08,2025,final_bookouts_release_to_remove,29446,29446,29446,2025-09-20,2025-10-30
2025_09,2025,final_bookouts_release_to_remove,21158,,,2025-09-20,2025-10-30
2025_10,2026,final_bookouts_release_to_remove,34114,34072,34130,2026-02-07,2026-02-13
2025_11,2026,final_bookouts_release_to_remove,32833,32723,32833,2026-02-07,2026-02-13
2025_12,2026,final_bookouts_release_to_remove,33995,33755,33995,2026-02-07,2026-02-13
2026_01,2026,final_bookouts_release_to_remove,31430,31430,31430,2026-02-07,2026-02-13
2026_02,2026,final_bookouts_release_to_remove,7516,,,2026-02-07,2026-02-13
