year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2022_04,2022,bonded_out,2395,2395,2396,2022-09-24,2022-09-30
2022_05,2022,bonded_out,2712,2709,2716,2022-09-24,2022-09-30
2022_06,2022,bonded_out,3463,3461,3463,2022-09-24,2022-09-30
2022_07,2022,bonded_out,3055,3055,3055,2022-09-24,2022-09-30
2022_08,2022,bonded_out,3463,3463,3463,2022-09-24,2022-09-30
2022_09,2022,bonded_out,2320,,,2022-09-24,2022-09-30
2022_10,2023,bonded_out,2676,2676,2681,2023-10-03,2023-11-08
2022_11,2023,bonded_out,2828,2828,2831,2023-10-03,2023-11-08
2022_12,2023,bonded_out,1879,1878,1880,2023-10-03,2023-11-08
2023_01,2023,bonded_out,922,922,923,2023-10-03,2023-11-08
2023_02,2023,bonded_out,1015,1014,1015,2023-10-03,2023-11-08
2023_03,2023,bonded_out,1891,1884,1892,2023-10-03,2023-11-08
2023_04,2023,bonded_out,985,985,987,2023-10-03,2023-11-08
2023_05,2023,bonded_out,1229,1225,1229,2023-10-03,2023-11-08
2023_06,2023,bonded_out,928,917,928,2023-10-03,2023-11-08
2023_07,2023,bonded_out,1039,1037,1039,2023-10-03,2023-11-08
2023_08,2023,bonded_out,1225,1224,1225,2023-10-03,2023-11-08
2023_09,2023,bonded_out,949,949,949,2023-10-03,2023-11-08
2023_10,2024,bonded_out,941,937,941,2024-10-03,2024-10-01
2023_11,2024,bonded_out,940,934,940,2024-10-03,2024-10-01
2023_12,2024,bonded_out,981,978,981,2024-10-03,2024-10-01
2024_01,2024,bonded_out,690,689,690,2024-10-03,2024-10-01
2024_02,2024,bonded_out,852,851,852,2024-10-03,2024-10-01
2024_03,2024,bonded_out,1085,1085,1086,2024-10-03,2024-10-01
2024_04,2024,bonded_out,1084,1082,1084,2024-10-03,2024-10-01
2024_05,2024,bonded_out,1021,1012,1021,2024-10-03,2024-10-01
2024_06,2024,bonded_out,885,885,885,2024-10-03,2024-10-01
2024_07,2024,bonded_out,969,967,969,2024-10-03,2024-10-01
2024_08,2024,bonded_out,1047,1046,1047,2024-10-03,2024-10-01
2024_09,2024,bonded_out,899,899,899,2024-10-03,2024-10-01
2024_10,2025,bonded_out,909,909,1061,2025-09-20,2025-10-30
2024_11,2025,bonded_out,653,653,741,2025-09-20,2025-10-30
2024_12,2025,bonded_out,806,805,808,2025-09-20,2025-10-30
2025_01,2025,bonded_out,677,672,677,2025-09-20,2025-10-30
2025_02,2025,bonded_out,803,803,803,2025-09-20,2025-10-30
2025_03,2025,bonded_out,1791,1781,1791,2025-09-20,2025-10-30
2025_04,2025,bonded_out,2512,2490,2512,2025-09-20,2025-10-30
2025_05,2025,bonded_out,2438,2432,2438,2025-09-20,2025-10-30
2025_06,2025,bonded_out,2479,2475,2479,2025-09-20,2025-10-30
2025_07,2025,bonded_out,2051,2047,2051,2025-09-20,2025-10-30
2025_08,2025,bonded_out,899,899,899,2025-09-20,2025-10-30
2025_09,2025,bonded_out,464,,,2025-09-20,2025-10-30
2025_10,2026,bonded_out,1086,1081,1086,2026-02-07,2026-02-13
2025_11,2026,bonded_out,1269,1266,1269,2026-02-07,2026-02-13
2025_12,2026,bonded_out,2072,2064,2072,2026-02-07,2026-02-13
2026_01,2026,bonded_out,2300,2300,2300,2026-02-07,2026-02-13
2026_02,2026,bonded_out,546,,,2026-02-07,2026-02-13
2020_10,2021,bond_set_by_ice,218,218,218,2021-09-25,2021-10-02
2020_11,2021,bond_set_by_ice,181,180,181,2021-09-25,2021-10-02
2020_12,2021,bond_set_by_ice,219,219,221,2021-09-25,2021-10-02
2021_01,2021,bond_set_by_ice,225,225,225,2021-09-25,2021-10-02
2021_02,2021,bond_set_by_ice,285,285,285,2021-09-25,2021-10-02
2021_03,2021,bond_set_by_ice,238,238,239,2021-09-25,2021-10-02
2021_04,2021,bond_set_by_ice,188,188,188,2021-09-25,2021-10-02
2021_05,2021,bond_set_by_ice,422,422,423,2021-09-25,2021-10-02
2021_06,2021,bond_set_by_ice,513,512,515,2021-09-25,2021-10-02
2021_07,2021,bond_set_by_ice,451,451,451,2021-09-25,2021-10-02
2021_08,2021,bond_set_by_ice,301,301,301,2021-09-25,2021-10-02
2021_09,2021,bond_set_by_ice,199,,,2021-09-25,2021-10-02
2021_10,2022,bond_set_by_ice,277,277,277,2022-09-24,2022-09-30
2021_11,2022,bond_set_by_ice,260,260,261,2022-09-24,2022-09-30
2021_12,2022,bond_set_by_ice,309,309,312,2022-09-24,2022-09-30
2022_01,2022,bond_set_by_ice,230,230,232,2022-09-24,2022-09-30
2022_02,2022,bond_set_by_ice,1349,1349,1349,2022-09-24,2022-09-30
2022_03,2022,bond_set_by_ice,2351,2351,2351,2022-09-24,2022-09-30
2022_04,2022,bond_set_by_ice,1419,1419,1420,2022-09-24,2022-09-30
2022_05,2022,bond_set_by_ice,1378,1378,1381,2022-09-24,2022-09-30
2022_06,2022,bond_set_by_ice,2134,2134,2138,2022-09-24,2022-09-30
2022_07,2022,bond_set_by_ice,1801,1801,1801,2022-09-24,2022-09-30
2022_08,2022,bond_set_by_ice,1974,1974,1974,2022-09-24,2022-09-30
2022_09,2022,bond_set_by_ice,1362,,,2022-09-24,2022-09-30
